,Unnamed: 0,low,high,open,close,volume
0,2017-01-01 04:00:00,970.42,973.4,973.37,970.42,58.11304124
1,2017-01-01 04:15:00,969.9,971.37,970.42,970.7,38.38647655999999
2,2017-01-01 04:30:00,970.88,971.99,971.08,971.82,33.32032459999999
3,2017-01-01 04:45:00,970.27,971.82,971.82,970.27,54.88476
4,2017-01-01 05:00:00,970.57,972.0,970.99,971.99,44.27762296
5,2017-01-01 05:15:00,969.28,971.98,971.74,969.28,34.8791
6,2017-01-01 05:30:00,968.21,970.87,969.62,970.61,34.02210023
7,2017-01-01 05:45:00,970.49,971.54,970.54,970.49,35.17497821999999
8,2017-01-01 06:00:00,970.49,971.99,970.49,971.99,7.10273
9,2017-01-01 06:15:00,970.39,971.99,971.98,970.75,27.48801331
10,2017-01-01 06:30:00,969.01,971.28,970.75,969.19,31.460125660000006
11,2017-01-01 06:45:00,967.0,969.19,969.19,967.95,42.38527015
12,2017-01-01 07:00:00,967.8,969.47,967.83,969.23,25.884165799999998
13,2017-01-01 07:15:00,967.62,969.44,969.24,968.38,58.71873823999999
14,2017-01-01 07:30:00,967.86,968.72,968.15,968.6,19.65959026
15,2017-01-01 07:45:00,967.57,968.73,968.04,968.14,20.831819260000003
16,2017-01-01 08:00:00,967.25,968.62,968.17,968.1,27.22152946
17,2017-01-01 08:15:00,967.0,968.12,967.87,967.73,18.33869649
18,2017-01-01 08:30:00,966.64,967.75,967.22,967.36,12.26890037
19,2017-01-01 08:45:00,967.29,968.11,967.38,968.1,21.582704170000003
20,2017-01-01 09:00:00,964.37,968.1,968.1,966.01,67.56400755
21,2017-01-01 09:15:00,964.63,966.59,966.01,966.15,44.959773380000016
22,2017-01-01 09:30:00,964.73,966.28,966.23,966.03,38.77827953999999
23,2017-01-01 09:45:00,965.62,966.92,965.62,966.92,8.56226021
24,2017-01-01 10:00:00,966.0,967.0,966.92,966.82,14.106173000000002
25,2017-01-01 10:15:00,965.41,966.95,966.16,966.05,24.39162728
26,2017-01-01 10:30:00,964.54,969.63,965.84,969.45,21.27960322
27,2017-01-01 10:45:00,968.13,969.6,969.35,969.45,8.769722990000002
28,2017-01-01 11:00:00,969.16,970.56,969.45,969.9,30.84323976
29,2017-01-01 11:15:00,968.54,970.23,969.88,969.64,18.548502
30,2017-01-01 11:30:00,968.89,970.22,969.37,969.95,9.0364776
31,2017-01-01 11:45:00,968.59,969.95,969.95,969.47,24.453990000000005
32,2017-01-01 12:00:00,968.3,969.05,969.04,968.7,39.48380575
33,2017-01-01 12:15:00,968.54,969.49,968.71,969.49,14.563298540000002
34,2017-01-01 12:30:00,968.29,969.58,968.68,968.78,21.881953310000004
35,2017-01-01 12:45:00,968.11,969.31,968.79,969.15,13.664629999999999
36,2017-01-01 13:00:00,968.6,969.34,969.16,969.34,10.5056
37,2017-01-01 13:15:00,969.34,969.85,969.34,969.85,4.2986432799999985
38,2017-01-01 13:30:00,969.7,970.68,969.84,969.95,30.019314800000004
39,2017-01-01 13:45:00,969.93,970.62,969.93,970.38,7.794787780000001
40,2017-01-01 14:00:00,969.79,972.99,970.36,972.99,35.22648586000001
41,2017-01-01 14:15:00,972.98,972.99,972.99,972.98,13.224514629999998
42,2017-01-01 14:30:00,972.98,972.99,972.99,972.98,29.45113277
43,2017-01-01 14:45:00,972.98,974.99,972.99,974.99,22.33879225
44,2017-01-01 15:00:00,974.98,974.99,974.98,974.99,21.1671
45,2017-01-01 15:15:00,974.98,974.99,974.98,974.98,6.731129999999999
46,2017-01-01 15:30:00,974.98,974.99,974.99,974.99,11.38591
47,2017-01-01 15:45:00,974.98,975.0,974.99,975.0,14.36997492
48,2017-01-01 16:00:00,974.99,975.0,975.0,975.0,4.5934034200000005
49,2017-01-01 16:15:00,974.99,975.0,975.0,975.0,16.753586119999998
50,2017-01-01 16:30:00,974.98,975.0,975.0,974.99,13.96449
51,2017-01-01 16:45:00,974.01,974.99,974.98,974.56,16.68552608
52,2017-01-01 17:00:00,974.31,974.99,974.37,974.98,10.609917
53,2017-01-01 17:15:00,974.98,977.21,974.98,977.21,45.53254199999999
54,2017-01-01 17:30:00,976.66,977.99,977.3,977.99,31.8520042
55,2017-01-01 17:45:00,977.88,977.99,977.99,977.99,36.68823173
